APthreshold.hoc:  ilow=20  istep=10  nsteps=35  verbosedata=0  useCellType=WT-2005  

Time (ms)	20 pA	30 pA	40 pA	50 pA	60 pA	70 pA	80 pA	90 pA	100 pA	110 pA	120 pA	130 pA	140 pA	150 pA	160 pA	170 pA	180 pA	190 pA	200 pA	210 pA	220 pA	230 pA	240 pA	250 pA	260 pA	270 pA	280 pA	290 pA	300 pA	310 pA	320 pA	330 pA	340 pA	350 pA	360 pA	
0.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	
0.100000	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	
0.200000	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	
0.300000	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	
0.400000	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	
0.500000	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	
0.600000	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	
0.700000	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	
0.800000	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	
0.900000	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	
